id;country;city;phone;age;carrier;marital_status
Zeus Franks;Slovakia;Le Grand-Quevilly;55(14)73557493;59;VIVO;Single
Ulla F. Stevenson;Afghanistan;Elbistan;55(87)57978639;39;TIM;Single
Fuller C. Cole;Holy See (Vatican City State);Pangnirtung;55(16)34105755;43;VIVO;Single
Kyla W. Robertson;Jersey;Talca;55(11)87711794;22;TIM;Married
Melanie Manning;Senegal;Celle;55(24)29260862;30;NEXTEL;Single
Sage K. Koch;Sweden;Guarapuava;55(98)77823669;28;NEXTEL;Single
Addison Wood;Montserrat;Guarulhos;55(96)95791801;25;NEXTEL;Single
Melodie A. Garrison;Dominican Republic;Massarosa;55(14)36402842;24;CLARO;Divorced
Victoria L. Cole;Trinidad and Tobago;Ikot Ekpene;55(15)27185157;30;OI;Divorced
Roanna J. Madden;Tuvalu;Grosseto;55(69)33469513;49;VIVO;Married
Kane R. Simmons;Samoa;Huntsville;55(46)31933161;55;VIVO;Single
Norman Figueroa;Taiwan;San Marcello;55(45)20256908;44;NEXTEL;Divorced
Deirdre Carey;Namibia;Wolfville;55(27)52701656;37;CLARO;Single
Winter N. Fry;Nepal;Vallenar;55(37)66174826;26;TIM;Divorced
Francis Rose;Åland Islands;Grado;55(15)48110699;25;OI;Single
Scarlet B. Sheppard;American Samoa;Olathe;55(82)79464100;51;NEXTEL;Divorced
Amery Shields;Central African Republic;Landau;55(65)53115127;27;OI;Single
Kessie Bean;Ethiopia;Purmerend;55(42)61333454;56;TIM;Married
Haley Gordon;Hungary;Casciana Terme;55(35)21033842;53;VIVO;Married
Stephanie Whitaker;Puerto Rico;Gravilias;55(35)26051714;55;OI;Married
Kirsten C. Kim;Honduras;Sainte-Ode;55(44)81059404;33;NEXTEL;Divorced
Jack Moody;El Salvador;Tiruvottiyur;55(91)33254073;36;TIM;Single
Shelby Mcgowan;Austria;Tumba;55(35)63832176;54;TIM;Divorced
Ariana Torres;Pakistan;Mysore;55(50)15348243;50;TIM;Single
Blossom B. David;Wallis and Futuna;Margate;55(52)86245494;50;NEXTEL;Single
