id;country;city;phone;age;carrier;marital_status
Deacon Hines;Saint Martin;Bayonne;55(03)63812974;32;TIM;Single
Giacomo D. Burris;Guinea;Corroy-le-Ch‰teau;55(39)95486258;29;NEXTEL;Divorced
Chaim O. Collier;Sao Tome and Principe;Saint-Sébastien-sur-Loire;55(90)73568357;39;CLARO;Divorced
Halla Q. Mcneil;Croatia;Tain;55(48)87592791;44;OI;Divorced
Carol M. Sexton;Korea, South;Kapolei;55(02)76641684;22;CLARO;Divorced
Heather Moon;Nicaragua;Ellikom;55(67)62010709;52;NEXTEL;Married
Preston May;Cocos (Keeling) Islands;Dandenong;55(54)29012916;44;NEXTEL;Divorced
Zena Watkins;French Polynesia;Premeno;55(53)36074807;44;VIVO;Divorced
Norman Meadows;Macedonia;Savona;55(06)40786741;55;CLARO;Married
Miranda T. Snider;Paraguay;Asnières-sur-Seine;55(86)11309602;28;NEXTEL;Divorced
Leila D. Holmes;Argentina;Humbeek;55(98)31358003;57;CLARO;Single
Lawrence E. Hart;Bahamas;Picton;55(66)59565441;28;VIVO;Married
Keegan I. Macdonald;Palestine, State of;Sale;55(17)90464078;41;TIM;Single
Abraham Jordan;Nigeria;Irvine;55(08)19901231;47;CLARO;Married
Reagan Melton;Suriname;Codognè;55(69)12124326;18;OI;Married
Boris Snow;Gambia;Ramsel;55(82)65933128;36;CLARO;Divorced
Felicia Turner;Niger;Zaragoza;55(12)50568402;47;CLARO;Married
Orson Washington;Niue;Saint-Quentin;55(54)64142648;45;TIM;Married
Rinah D. Joyner;Monaco;Lacombe;55(23)42066959;54;VIVO;Divorced
Athena Cooley;Macedonia;Winnipeg;55(87)92095774;19;NEXTEL;Married
Josephine M. Stephenson;Tokelau;Chillán;55(68)70958419;32;TIM;Divorced
Julian M. Morrison;Cuba;HŽlŽcine;55(96)59630618;52;NEXTEL;Divorced
Alice Q. Workman;Falkland Islands;Rapone;55(91)66497146;37;VIVO;Divorced
Erasmus Gould;Ghana;Sint-Gillis-bij-Dendermonde;55(88)32683640;30;NEXTEL;Divorced
Lillith Conway;Vanuatu;Wernigerode;55(09)81206336;25;OI;Single
Kiayada Long;Virgin Islands, British;Monghidoro;55(78)28095053;58;VIVO;Married
Isaiah T. Gilbert;Chad;Ilesa;55(99)44042144;51;CLARO;Single
Ria Mann;Jamaica;Zerkegem;55(83)21261642;25;CLARO;Divorced
Uriel Berry;France;Sart-Eustache;55(40)77294994;35;NEXTEL;Divorced
Kuame Neal;United States Minor Outlying Islands;Bhatinda;55(93)29671379;19;VIVO;Married
Sasha Price;Saint Barthélemy;Gougnies;55(16)29178221;33;CLARO;Married
Sawyer Cabrera;Somalia;Morolo;55(60)52857838;50;VIVO;Divorced
Hedy Holland;Ghana;Morro d'Alba;55(41)17941548;25;CLARO;Married
Ila Baker;Northern Mariana Islands;MabomprŽ;55(01)86095779;44;OI;Divorced
Ferdinand Vinson;Finland;Laives/Leifers;55(10)78534230;49;VIVO;Divorced
Echo T. Cooke;Liberia;Bitterfeld-Wolfen;55(41)11823880;34;NEXTEL;Divorced
Abbot Gonzales;Senegal;Sosnowiec;55(88)81717961;43;CLARO;Married
Kato Poole;Benin;Gönen;55(48)25514422;53;TIM;Married
Felix Walls;Burkina Faso;Täby;55(50)49853588;41;OI;Married
Hashim J. Alvarado;New Caledonia;Verrayes;55(93)27587589;19;TIM;Single
Candice X. Herrera;Ghana;Nîmes;55(89)18533056;58;VIVO;Divorced
Vernon R. Boyd;Luxembourg;Mandasor;55(98)65306237;29;NEXTEL;Divorced
Phelan Randall;Macao;Padre las Casas;55(58)95225393;35;VIVO;Married
Kevyn P. Rojas;Paraguay;Araban;55(66)42214864;46;TIM;Divorced
Sybil H. Curtis;United States;South Burlington;55(25)58531978;53;VIVO;Single
Wynter F. Pearson;Morocco;Aalen;55(74)80097543;25;TIM;Single
Perry L. English;Niue;Bad Nauheim;55(97)67150670;54;TIM;Divorced
Daphne J. Mcknight;Sweden;Bathgate;55(08)32861160;49;OI;Single
Myra B. Peterson;Laos;Kelowna;55(54)72869648;38;VIVO;Married
Slade Buck;Colombia;Springfield;55(29)69698614;48;CLARO;Married
Marsden X. Roth;Somalia;Orangeville;55(40)12027543;47;TIM;Divorced
Kaitlin Woods;Pakistan;Köflach;55(98)10287165;55;TIM;Single
Hamilton Galloway;Finland;Lafayette;55(32)22332092;53;OI;Married
Quamar Griffith;Pitcairn Islands;Chaitén;55(51)56658139;54;OI;Divorced
Robert Estes;Barbados;Lanaken;55(97)16902505;43;TIM;Married
Demetrius Taylor;Virgin Islands, United States;Izel;55(46)27545258;30;VIVO;Divorced
Ray Ford;Norfolk Island;Rexton;55(22)57833318;56;CLARO;Married
Alec Beasley;South Georgia and The South Sandwich Islands;Ludvika;55(97)76766512;24;OI;Married
Brianna H. Jimenez;Uzbekistan;GozŽe;55(35)67970914;37;TIM;Single
Serina Q. Soto;Falkland Islands;Burnpur;55(00)48221656;53;TIM;Married
Oscar Richardson;Sudan;Kalisz;55(40)63464386;20;CLARO;Divorced
Willow T. Benson;Macao;Pugwash;55(20)61771813;41;CLARO;Single
Carter Delgado;France;San José de Alajuela;55(83)19601898;26;VIVO;Divorced
Ralph P. Todd;Swaziland;Coquimbo;55(16)69493847;57;CLARO;Divorced
Mercedes H. Patel;Italy;Estevan;55(11)81891966;58;NEXTEL;Married
Sloane Williamson;Venezuela;Erdemli;55(56)70606659;28;VIVO;Divorced
Maya Dorsey;Malaysia;Zwijnaarde;55(45)48407825;48;OI;Divorced
Chanda G. Peterson;Turkmenistan;Bromyard;55(89)23050377;20;CLARO;Single
Rae S. Mcbride;Turkmenistan;Anglet;55(04)41967840;46;CLARO;Married
Maile Guerrero;Israel;Nazilli;55(84)70205998;51;NEXTEL;Married
Marsden Foster;Sudan;Charleville-Mézières;55(96)95978569;50;CLARO;Married
Shelley Lester;Antarctica;Moose Jaw;55(75)50183909;37;OI;Single
