id;country;city;phone;age;carrier;marital_status
Kalia V. Dyer;Malaysia;Miranda;55(04)50437476;49;VIVO;Single
Rama A. Holder;Maldives;Diano Arentino;55(72)64537378;58;OI;Single
Hop S. Simpson;Philippines;Chetwynd;55(25)75411813;24;NEXTEL;Single
Magee Salazar;Cayman Islands;Den Helder;55(67)26810472;47;TIM;Married
Abigail H. Boyer;Iran;Cache Creek;55(78)84023221;46;TIM;Divorced
Dana Dunn;Taiwan;Zeveneken;55(36)41798214;37;VIVO;Married
Sebastian X. Lester;Mexico;Chesterfield;55(04)45144347;56;OI;Single
Larissa Albert;Lebanon;Cache Creek;55(37)22981628;31;OI;Single
Portia Patrick;Antigua and Barbuda;Hafizabad;55(77)75369597;30;CLARO;Divorced
Pascale Copeland;Iraq;Portree;55(58)92511252;47;VIVO;Divorced
Indira Berry;Algeria;Habay;55(53)27944682;42;VIVO;Divorced
Henry A. Thompson;Tokelau;Des Moines;55(74)28752301;32;NEXTEL;Married
Orson K. Rose;Palestine, State of;Parndorf;55(97)40820735;21;NEXTEL;Single
Brandon Mccray;Christmas Island;My;55(14)77337544;20;NEXTEL;Single
Zenia Y. Frank;Cuba;Haarlem;55(33)45019544;34;NEXTEL;Married
Cameron P. Sutton;Dominican Republic;Panchià;55(84)95888387;26;CLARO;Single
Anjolie Harrison;Guam;Augusta;55(03)38662814;37;CLARO;Married
Mercedes Kirk;Sierra Leone;Steyr;55(67)84766583;55;OI;Married
Reuben Wagner;Canada;Banbury;55(98)39723239;37;TIM;Divorced
Kelly E. Drake;United States Minor Outlying Islands;Knoxville;55(47)23949531;39;OI;Divorced
Guinevere Donaldson;Bermuda;Brandenburg;55(38)35599379;36;NEXTEL;Married
Neville Houston;Cuba;Feldkirch;55(91)54195153;24;VIVO;Divorced
Quinn P. Holmes;Burundi;Joondalup;55(82)47847514;30;NEXTEL;Single
Mercedes Steele;South Africa;Calvello;55(36)24404101;56;NEXTEL;Married
Kaitlin Buckner;Christmas Island;Märsta;55(85)52349917;52;TIM;Married
Kamal Z. Guthrie;Colombia;Villach;55(49)21451416;54;TIM;Divorced
Beck Mcpherson;Anguilla;Horsham;55(34)69749254;30;VIVO;Married
Colorado Holden;Mauritius;Castelbianco;55(04)35967557;23;NEXTEL;Married
Willow T. Elliott;Falkland Islands;Elversele;55(57)52596381;53;TIM;Divorced
Olympia Parks;Lesotho;Versailles;55(67)76841507;47;OI;Single
Edan Duffy;Dominican Republic;Baunatal;55(48)16131555;22;NEXTEL;Married
Emily H. Combs;Rwanda;Pitt Meadows;55(72)86260515;40;NEXTEL;Single
Bruce Delaney;Korea, North;Lo Espejo;55(82)49045556;24;CLARO;Married
Megan Walters;Dominica;Castelnovo del Friuli;55(23)86993323;53;OI;Divorced
Reuben U. Salas;Mali;Houtave;55(50)84822535;21;TIM;Single
Remedios Q. Green;Guernsey;Rignano Garganico;55(50)50305645;46;OI;Married
Jana I. Dixon;Bolivia;Casalbuono;55(02)51203901;51;NEXTEL;Divorced
Armando Hull;Norway;Lowell;55(53)83094314;55;TIM;Married
Devin B. Whitley;Guatemala;Liers;55(01)35006823;59;TIM;Divorced
Catherine Maynard;Japan;Máfil;55(55)37408956;51;OI;Married
Mark Watson;Denmark;Grey County;55(73)64105655;20;VIVO;Married
Macon Sheppard;Angola;Bacabal;55(34)46040560;56;VIVO;Single
