id;country;city;phone;age;carrier;marital_status
Candice R. Baldwin;Syria;Gangtok;55(28)74138048;26;CLARO;Married
Ashton E. Schultz;American Samoa;Calbuco;55(62)94972260;60;NEXTEL;Divorced
Rhiannon G. Velasquez;Laos;Valmacca;55(54)66875279;25;VIVO;Divorced
Paul Sellers;Iran;Stamford;55(67)29642027;57;OI;Divorced
Kiayada Haney;Mali;Senneville;55(31)86220389;50;VIVO;Divorced
Georgia Spears;Guyana;Bolano;55(01)14142100;44;NEXTEL;Single
Deirdre Rice;Somalia;Calvello;55(62)36881099;45;CLARO;Divorced
Alexa Wilkinson;Vanuatu;Pulle;55(03)51223296;28;TIM;Married
Quinlan B. Goodwin;Portugal;Monte Vidon Corrado;55(38)87357647;36;TIM;Divorced
Nicholas Chang;Montenegro;Täby;55(49)24017301;41;VIVO;Single
Barry Curry;Bouvet Island;Bal‰tre;55(69)41117785;59;TIM;Divorced
Cedric H. Dillard;Central African Republic;Villafranca Tirrena;55(29)27466394;39;NEXTEL;Single
Xandra S. Fowler;Tajikistan;L�vis;55(58)36318398;19;TIM;Married
Imogene B. Klein;Côte D'Ivoire (Ivory Coast);Montjovet;55(36)18839674;36;VIVO;Single
Jarrod B. Melton;Eritrea;Orp-Jauche;55(32)70001556;24;OI;Divorced
Galvin I. Whitaker;Uzbekistan;Bientina;55(14)23066658;35;TIM;Single
Sean L. Santana;Armenia;Pondicherry;55(25)78176310;55;TIM;Married
Kaye Cobb;South Africa;Aiseau;55(21)57426789;51;TIM;Married
Ava S. Herman;Canada;Alanya;55(10)48067026;28;TIM;Divorced
Ima Ramsey;Vanuatu;Daska;55(04)93328301;53;OI;Single
Latifah Reid;Svalbard and Jan Mayen Islands;Flushing;55(45)98154811;35;NEXTEL;Divorced
Thomas Watkins;Palestine, State of;Afşin;55(36)41618883;55;OI;Divorced
Elton O. Roberts;Lesotho;Teralfene;55(92)38377066;53;NEXTEL;Divorced
Logan Velez;Cameroon;Gilly;55(98)32438601;31;CLARO;Divorced
Meghan Suarez;Burundi;Naperville;55(88)79414875;52;NEXTEL;Single
August Holder;Yemen;Huntley;55(20)64920613;40;VIVO;Married
Penelope B. Burnett;Curaçao;Esen;55(47)86590439;29;NEXTEL;Single
Davis W. Woodward;South Georgia and The South Sandwich Islands;Antibes;55(19)68961845;38;TIM;Divorced
Jayme Myers;Maldives;Gattatico;55(27)38023507;59;VIVO;Married
