id;country;city;phone;age;carrier;marital_status
Clinton U. Murphy;Mauritius;Wandre;55(45)87732532;47;VIVO;Divorced
Zeus W. Clemons;Virgin Islands, British;Saarbrücken;55(76)58859245;48;TIM;Single
Jameson Fox;Poland;Coleville Lake;55(46)44577436;32;OI;Divorced
Basil Alexander;Tokelau;Newbury;55(50)80580291;30;TIM;Married
Nola B. Spencer;Laos;Fosses-la-Ville;55(02)45084370;23;CLARO;Married
Timon L. Rogers;Bulgaria;Richmond;55(21)27346578;29;NEXTEL;Single
Cedric W. Lowery;Kiribati;La Reina;55(30)59299867;30;TIM;Single
Charde A. Lucas;Hungary;Beerse;55(17)59922557;20;TIM;Single
Cailin M. Schultz;Virgin Islands, British;Rio Verde;55(34)79327096;58;VIVO;Single
Hayden Mcleod;Kenya;Bairnsdale;55(83)64358449;21;CLARO;Single
Tyler J. Peterson;Pakistan;Aberystwyth;55(47)27913434;52;VIVO;Single
Vernon Stevens;Romania;Whitehaven;55(55)94598104;48;NEXTEL;Married
Quamar Oneil;Honduras;Ponte San Nicolò;55(24)57275260;45;TIM;Married
Ishmael C. Gentry;Aruba;Pelarco;55(21)33457011;37;VIVO;Single
Fatima K. Sanchez;Virgin Islands, United States;Barbania;55(45)12996988;28;TIM;Divorced
Valentine N. Tanner;South Africa;Castanhal;55(14)58167685;59;CLARO;Married
Cherokee Heath;Colombia;Zwettl-Niederösterreich;55(15)99872551;23;OI;Single
Inga F. Boone;Belgium;Tongeren;55(46)39511259;44;OI;Single
George Strong;Sri Lanka;Falmouth;55(58)94348775;53;VIVO;Married
Jarrod Hensley;Finland;Lo Barnechea;55(31)78725251;44;TIM;Single
Kyle O. Kennedy;Nicaragua;Gillette;55(51)25494254;57;NEXTEL;Married
Yoko B. Talley;Egypt;Navidad;55(15)63095629;37;NEXTEL;Married
Katelyn Y. Ochoa;Central African Republic;Arendonk;55(93)89888991;40;OI;Single
Calvin D. Mendez;Korea, South;Poitiers;55(27)91212604;20;CLARO;Single
Herman P. Henson;Montenegro;Cardedu;55(15)95656066;41;OI;Divorced
Dacey Gillespie;Nepal;Sedgewick;55(48)35573463;48;CLARO;Single
Cooper Myers;Reunion;Grand-Reng;55(49)39219431;49;VIVO;Single
William C. Richardson;Angola;High Wycombe;55(82)23101802;43;OI;Single
Shafira D. Thornton;Jamaica;Wabamun;55(70)91017858;26;OI;Divorced
Sonia Tanner;Belize;Södertälje;55(05)57882982;34;TIM;Married
Sebastian I. Mcknight;Sao Tome and Principe;Teltow;55(72)36201335;58;NEXTEL;Married
Amelia T. Gill;French Guiana;Evesham;55(08)66112211;30;CLARO;Divorced
Jason N. Pope;Bulgaria;Mascalucia;55(77)99952009;29;CLARO;Married
Wesley R. Campbell;Holy See (Vatican City State);Teralfene;55(87)95497419;37;OI;Single
Ian G. Powers;Latvia;Haarlem;55(69)72493673;38;OI;Married
Megan Vaughan;Portugal;Ranchi;55(08)87563106;18;VIVO;Married
Urielle Yang;Russian Federation;Prenzlau;55(71)93916987;24;VIVO;Married
Leslie D. Mccray;Lithuania;Juazeiro do Norte;55(15)63485867;48;TIM;Divorced
Benedict Delaney;Burkina Faso;Lienz;55(18)57360455;29;OI;Married
Gretchen Brooks;Bouvet Island;San Jose;55(65)52309551;28;VIVO;Divorced
Honorato W. Hudson;El Salvador;Burnaby;55(17)14859151;20;NEXTEL;Married
Imelda Hinton;Eritrea;Andalo;55(08)87922116;25;VIVO;Divorced
Melissa M. Reynolds;Netherlands;Forgaria nel Friuli;55(63)90689407;26;NEXTEL;Divorced
Gareth Schultz;Costa Rica;Arrone;55(50)82979898;23;CLARO;Divorced
Walker C. Daniels;Laos;Mjölby;55(81)13646122;24;OI;Divorced
Flavia Q. Munoz;Vanuatu;Hope;55(76)45878788;28;CLARO;Single
Francesca I. Mckenzie;British Indian Ocean Territory;Oklahoma City;55(51)61609024;43;CLARO;Single
Leigh Z. Oneal;New Caledonia;Belgrade;55(03)45029267;27;VIVO;Divorced
Perry V. Stokes;United Arab Emirates;Atlanta;55(87)53965563;50;VIVO;Divorced
Lillith Q. Lott;Bulgaria;Villa Santo Stefano;55(68)65278295;28;VIVO;Divorced
