id;country;city;phone;age;carrier;marital_status
Aphrodite Ramirez;Central African Republic;Uddevalla;55(74)64115703;57;TIM;Married
Kaseem Trevino;Vanuatu;Milford Haven;55(23)48265935;58;TIM;Single
Allegra J. Huffman;French Southern Territories;Columbus;55(77)96662492;55;OI;Single
Dolan Hale;Canada;Alness;55(81)41797587;58;CLARO;Divorced
Alfreda L. Page;Lebanon;Midway;55(99)52800972;44;VIVO;Divorced
Rose Bridges;Anguilla;Northumberland;55(80)45015207;26;TIM;Married
Cody Holcomb;France;Adana;55(25)76734077;44;OI;Married
Sonya Moon;Saint Kitts and Nevis;Rae Lakes;55(62)29848260;42;VIVO;Single
Mikayla I. Bennett;Antarctica;Roccanova;55(20)37169830;30;CLARO;Divorced
Inez N. Michael;Comoros;Sousa;55(76)19570123;46;TIM;Single
Kelsie Y. Dotson;Estonia;Tomaszów Mazowiecki;55(31)49085676;46;NEXTEL;Married
Shelby Snyder;Estonia;Poznań;55(00)92712370;52;CLARO;Single
Hope T. Hobbs;Laos;Bama;55(02)16824045;47;OI;Single
Giacomo O. Nolan;Martinique;Glendale;55(66)15793276;46;VIVO;Married
Davis O. Whitley;Uzbekistan;Lidköping;55(50)31614390;27;NEXTEL;Single
Tobias M. Drake;Cuba;Red Deer;55(38)40262931;28;CLARO;Divorced
Felix M. Battle;Bhutan;Gavirate;55(40)47734206;29;TIM;Divorced
Susan H. Maddox;United Arab Emirates;Soma;55(41)64057518;22;CLARO;Divorced
Jordan Mcclain;Bermuda;Minturno;55(32)24354724;59;TIM;Married
Joy Y. Donaldson;Benin;Limburg a.d. Lahn;55(23)59061940;38;NEXTEL;Married
Plato K. Workman;Western Sahara;Doetinchem;55(08)15841113;40;VIVO;Married
Tanisha B. Beck;Italy;Chicago;55(40)89909913;52;TIM;Married
August Finch;Mozambique;Gladstone;55(66)76264519;32;OI;Single
Darius X. Sanchez;United States;Gillette;55(14)63492610;22;CLARO;Single
Honorato W. Lane;Djibouti;Wittenberg;55(11)47933739;40;TIM;Single
Lance Stephens;Suriname;Brecon;55(18)31650583;23;VIVO;Divorced
Kirsten Fleming;Singapore;Nethen;55(81)96818702;47;NEXTEL;Divorced
Rylee Nunez;Heard Island and Mcdonald Islands;Elx;55(47)60888633;31;TIM;Single
Clarke Z. Guerra;Peru;Damoh;55(26)78408551;24;VIVO;Single
Oren Strickland;Iraq;San Donato di Ninea;55(46)95407526;28;OI;Single
Jenette Slater;Dominica;Jamshedpur;55(51)24593761;20;NEXTEL;Married
Camille Vang;Iceland;Colloredo di Monte Albano;55(17)25897824;44;CLARO;Married
Preston Johnson;Belgium;Rivello;55(71)64799181;23;NEXTEL;Divorced
Jason I. Burns;Tonga;Riksingen;55(72)20328071;43;NEXTEL;Single
Stephanie F. Estes;Ecuador;Ribeirão Preto;55(84)29179194;54;CLARO;Single
Zenaida Payne;Bermuda;Vichuquén;55(04)93815524;28;NEXTEL;Married
Quincy Freeman;Åland Islands;Saint-Rhémy-en-Bosses;55(88)54624142;42;VIVO;Divorced
Len Morrow;Eritrea;Ferrazzano;55(80)71132080;45;NEXTEL;Married
Olga G. Bruce;Solomon Islands;Castel Colonna;55(47)87554967;46;VIVO;Divorced
Jordan West;Brazil;Saint-Marcel;55(01)26927591;60;TIM;Married
Kennan V. Floyd;Gambia;Sommethonne;55(88)55474531;52;NEXTEL;Married
Aquila Galloway;Indonesia;Fallo;55(88)18337381;21;VIVO;Divorced
MacKensie Snyder;Heard Island and Mcdonald Islands;Buckingham;55(10)56700309;58;OI;Married
Lance V. Estrada;Cyprus;Charleville-Mézières;55(81)60061355;59;OI;Married
Galvin Goff;Macao;Prè-Saint-Didier;55(61)57015826;37;OI;Single
Zeph K. Nash;Romania;Doetinchem;55(54)91595197;32;NEXTEL;Divorced
Driscoll E. Dudley;Cyprus;Mödling;55(02)18541298;55;OI;Single
Sharon Whitehead;Syria;Muzaffarnagar;55(92)52004068;23;NEXTEL;Married
Alvin Kim;Kuwait;Schweinfurt;55(41)96671163;42;CLARO;Divorced
Carol Q. Parsons;Iran;Limal;55(43)76970079;45;TIM;Divorced
Hope G. Hartman;Yemen;Cras-Avernas;55(47)79267558;53;CLARO;Divorced
Brett A. Patel;Poland;North Saanich;55(74)75832416;55;CLARO;Divorced
Phelan Hawkins;Cambodia;King's Lynn;55(74)23324657;40;NEXTEL;Divorced
Erin G. Long;Fiji;Chelsea;55(09)84693254;42;OI;Single
Alma Weeks;Seychelles;Lakeshore;55(19)62245633;18;VIVO;Married
Shad Y. Morrow;Brazil;Rezé;55(92)28677094;40;OI;Married
Molly Bush;India;Froidchapelle;55(17)74423443;52;VIVO;Divorced
Xandra I. Sims;Tuvalu;Vance;55(41)96807957;20;OI;Single
Abdul Beasley;Honduras;Ch‰telineau;55(22)22517749;49;VIVO;Single
Brielle Z. Floyd;Guernsey;Terlago;55(97)48219287;56;VIVO;Single
