id;country;city;phone;age;carrier;marital_status
Nerea Simon;Romania;Springfield;55(62)69731677;51;NEXTEL;Divorced
Sean Fox;Sierra Leone;West Vancouver;55(77)85062106;30;VIVO;Divorced
Macon Mathis;Palau;Stirling;55(31)78408014;22;NEXTEL;Divorced
Ian Ross;Mexico;Chimbarongo;55(25)47465195;32;TIM;Divorced
Magee Eaton;Morocco;Minneapolis;55(84)13990279;27;CLARO;Divorced
Jolie Wiley;Ecuador;Lüneburg;55(11)14377561;51;OI;Married
Destiny U. Bridges;Antarctica;Mendonk;55(88)69998356;43;VIVO;Divorced
Ralph A. Weeks;Dominican Republic;Värnamo;55(76)38516351;42;OI;Married
Pamela Parker;Malta;Kulti-Barakar;55(05)64054288;34;VIVO;Divorced
Nehru Alston;French Southern Territories;Sylvan Lake;55(28)64638597;25;TIM;Married
Scott F. Pena;Turkmenistan;Betim;55(88)27597660;44;OI;Married
Jemima J. Hancock;New Caledonia;Lagos;55(66)77041276;54;TIM;Married
Evelyn Cleveland;Malawi;Łomża;55(15)92131414;20;OI;Married
Cassady Schneider;Martinique;Kasterlee;55(70)12513403;46;NEXTEL;Divorced
Lilah Hurley;Tanzania;Urbe;55(90)44752486;29;OI;Divorced
Bert Booth;Niger;Wismar;55(36)71779590;42;OI;Single
Petra P. Russell;Niger;Port Pirie;55(24)93604757;52;CLARO;Single
Bruce G. Kane;Morocco;Kaaskerke;55(01)11967058;36;CLARO;Married
Orson Moreno;Sri Lanka;Zerba;55(60)37846509;44;VIVO;Married
Sigourney B. Pruitt;Niue;Gressoney-La-Trinitè;55(10)34665727;34;OI;Single
Justina L. Schultz;Marshall Islands;Timkur;55(61)90399996;44;TIM;Single
Amir I. Cameron;Virgin Islands, United States;Itapipoca;55(11)80350758;59;VIVO;Single
Kieran O. Frank;Aruba;Meeffe;55(76)42634115;57;OI;Divorced
Howard Roberts;Niger;HŽron;55(45)53894629;47;CLARO;Married
Cain Hunt;Paraguay;Tielen;55(24)82177615;22;VIVO;Single
Dale O. Sosa;Antigua and Barbuda;Schepdaal;55(71)60428193;34;TIM;Married
Nina Park;Turkmenistan;Burlington;55(16)72276365;59;CLARO;Divorced
Chadwick V. Dillon;Curaçao;Sant'Egidio alla Vibrata;55(26)43941107;23;NEXTEL;Single
Katell Johns;Serbia;Guysborough;55(79)81454781;30;VIVO;Single
Lael E. Chandler;Guinea;Krishnanagar;55(08)30944738;48;CLARO;Single
George Wilcox;American Samoa;Gulbarga;55(85)13492375;47;OI;Married
Brett Tucker;Syria;Pune;55(58)33911522;35;TIM;Married
Tanek Weaver;Albania;Pievepelago;55(59)24368245;24;TIM;Divorced
Duncan Logan;Gibraltar;Wansin;55(95)76807514;18;VIVO;Divorced
Wynter Bailey;Australia;Kolmont;55(39)92971877;53;VIVO;Married
Ebony Campbell;Slovenia;Bahawalnagar;55(47)32396264;24;NEXTEL;Single
Emi N. Britt;China;Sahiwal;55(50)87597673;53;OI;Married
Jordan Farley;United States;San Costantino Calabro;55(18)65297387;27;OI;Single
Cathleen W. Walls;Haiti;Vaux-sous-ChŽvremont;55(85)96453109;54;NEXTEL;Married
Gemma Gonzales;Indonesia;Vallentuna;55(92)49298171;23;OI;Married
Julie L. Mullen;Malta;Nil-Saint-Vincent-Saint-Martin;55(70)32058011;50;NEXTEL;Single
Cedric Marks;Korea, North;Merritt;55(55)62331679;34;NEXTEL;Married
Nasim Bennett;Eritrea;Aalen;55(14)59738787;47;VIVO;Married
Ulla Serrano;Morocco;El Quisco;55(06)33276979;26;OI;Married
Vernon A. Casey;Saint Pierre and Miquelon;Nanton;55(30)22254646;60;VIVO;Married
Hedda A. Wiggins;Andorra;Treglio;55(94)11966380;53;OI;Married
Nola Stuart;Cuba;Jundiaí;55(11)26868279;19;TIM;Married
Rae O. Armstrong;Austria;Tacoma;55(08)27571431;43;CLARO;Single
Amal Warner;South Georgia and The South Sandwich Islands;Langenburg;55(28)78771373;44;OI;Married
